#,Name,Team,Type,PA,G,WAR,SLG,OBP,HR,RBI,SB,R,BB%,K%,AVG,Salary (Per Season)
1,Aaron Judge,NYY,Batter,429,96,7.4,0.733,0.462,35,81,6,85,0.161,0.254,0.355,40000000
2,Cal Raleigh,SEA,Batter,417,94,6.2,0.634,0.376,38,82,10,65,0.149,0.252,0.259,2666666
3,Pete Crow-Armstrong,CHC,Batter,394,93,5,0.555,0.308,25,71,27,67,0.046,0.226,0.27,771000
4,Bobby Witt Jr.,KCR,Batter,420,97,4.8,0.504,0.345,14,54,25,57,0.071,0.19,0.294,8111111
5,Fernando Tatis Jr.,SDP,Batter,413,94,4.1,0.451,0.366,16,42,21,65,0.123,0.174,0.269,20714285
6,Shohei Ohtani,LAD,Batter,428,93,4.1,0.599,0.379,31,59,12,88,0.14,0.252,0.273,28216944
7,Jeremy Peña,HOU,Batter,350,82,4,0.489,0.378,11,40,15,48,0.057,0.157,0.322,4100000
8,Byron Buxton,MIN,Batter,333,78,4,0.574,0.351,21,56,17,64,0.081,0.261,0.289,15142857
9,Kyle Tucker,CHC,Batter,414,93,3.9,0.504,0.387,17,55,22,68,0.143,0.145,0.284,16500000
10,Trea Turner,PHI,Batter,423,94,3.8,0.433,0.343,11,40,24,62,0.069,0.165,0.289,27272727
11,José Ramírez,CLE,Batter,391,92,3.7,0.506,0.363,18,50,29,54,0.09,0.113,0.295,19100000
12,James Wood,WSN,Batter,420,95,3.7,0.534,0.381,24,69,12,59,0.14,0.276,0.278,764600
13,Francisco Lindor,NYM,Batter,430,95,3.6,0.457,0.33,19,54,15,63,0.077,0.177,0.26,34150000
14,Corbin Carroll,ARI,Batter,361,80,3.6,0.55,0.324,21,47,11,62,0.086,0.258,0.245,5625000
15,Elly De La Cruz,CIN,Batter,415,97,3.6,0.495,0.359,18,63,25,72,0.101,0.243,0.284,770000
16,Ceddanne Rafaela,BOS,Batter,341,92,3.4,0.483,0.314,14,48,13,55,0.047,0.194,0.271,1250000
17,Ketel Marte,ARI,Batter,297,68,3.2,0.567,0.394,19,40,2,52,0.135,0.152,0.29,14000000
18,Will Smith,LAD,Batter,292,72,3.2,0.537,0.414,12,45,2,43,0.137,0.188,0.32,12927716
19,Manny Machado,SDP,Batter,408,96,3.1,0.49,0.35,17,56,8,57,0.088,0.169,0.292,17090909
20,Geraldo Perdomo,ARI,Batter,427,96,3.1,0.413,0.37,10,65,13,53,0.136,0.119,0.265,2550000
21,Alejandro Kirk,TOR,Batter,319,81,3,0.408,0.361,7,45,0,25,0.085,0.094,0.303,4600000
