Unnamed: 0,Name,Team,Type,W,L,SV,G,IP,K/9,BB/9,HR/9,ERA,FIP,WAR,Salary (Per Season)
1,Tarik Skubal,DET,Pitcher,10,3,0,19,121,11.38,1.19,0.67,2.23,2.02,4.7,10150000
2,Garrett Crochet,BOS,Pitcher,10,4,0,20,129.1,11.13,2.37,0.7,2.23,2.4,4.3,3800000
3,Paul Skenes,PIT,Pitcher,4,8,0,20,121,9.74,2.23,0.45,2.01,2.4,4,875000
4,Zack Wheeler,PHI,Pitcher,9,3,0,19,122,11.36,1.92,0.96,2.36,2.68,3.7,42000000
5,Logan Webb,SFG,Pitcher,9,6,0,20,125.2,9.95,2.01,0.64,2.94,2.52,3.4,12000000
6,Cristopher Sánchez,PHI,Pitcher,8,2,0,19,115,9.55,2.5,0.55,2.5,2.74,3.2,2050000
7,Kris Bubic,KCR,Pitcher,7,6,0,18,108.2,9.36,2.82,0.5,2.48,2.74,3.1,3000000
8,MacKenzie Gore,WSN,Pitcher,4,8,0,19,110.1,11.26,2.85,0.9,3.02,2.91,3.1,2890000
9,Jesús Luzardo,PHI,Pitcher,8,5,0,19,104.1,10.52,3.11,0.6,4.14,2.68,3.1,6625000
10,Sonny Gray,STL,Pitcher,9,3,0,19,108,9.83,1.58,0.83,3.5,2.71,3,25000000
11,Framber Valdez,HOU,Pitcher,10,4,0,19,121,9.3,3.05,0.6,2.75,3.02,3,18000000
12,Nathan Eovaldi,TEX,Pitcher,7,3,0,16,91,9.3,1.38,0.49,1.58,2.36,3,22100000
13,Hunter Brown,HOU,Pitcher,9,4,0,19,115,10.72,2.66,0.94,2.43,3.02,3,870000
14,Max Fried,NYY,Pitcher,11,3,0,20,122,8.34,1.99,0.66,2.43,3.02,2.9,14500000
15,Nick Pivetta,SDP,Pitcher,9,2,0,19,109.1,10.04,2.39,0.99,2.88,3.1,2.7,2500000
16,Matthew Boyd,CHC,Pitcher,10,3,0,19,111.2,8.22,1.85,0.81,2.34,3.17,2.7,10000000
17,Jacob deGrom,TEX,Pitcher,9,2,0,19,112.1,9.05,1.92,1.04,2.32,3.27,2.7,40100000
18,Mitch Keller,PIT,Pitcher,3,10,0,20,119,6.96,2.04,0.68,3.48,3.33,2.6,15411500
19,Joe Ryan,MIN,Pitcher,9,4,0,19,109.1,9.96,1.89,0.99,2.72,3.2,2.6,3000000
20,Chris Sale,ATL,Pitcher,5,4,0,15,89.1,11.49,2.62,0.71,2.52,2.66,2.5,22000000
21,José Soriano,LAA,Pitcher,6,7,0,20,113,7.81,4.38,0.32,3.9,3.35,2.4,790000
22,Yoshinobu Yamamoto,LAD,Pitcher,7,7,0,18,99.1,10.15,3.17,0.91,2.63,3.25,2.4,18333333
23,Ranger Suárez,PHI,Pitcher,7,3,0,13,83.2,8.39,2.37,0.65,2.15,2.97,2.4,8800000
24,Bryan Woo,SEA,Pitcher,8,4,0,18,114.2,8.56,1.65,1.1,2.75,3.4,2.3,783300
25,Freddy Peralta,MIL,Pitcher,11,4,0,20,111.2,9.51,2.98,0.97,2.66,3.55,2.3,8100000
26,Spencer Schwellenbach,ATL,Pitcher,7,4,0,17,110.2,8.78,1.46,1.06,3.09,3.2,2.3,770000
27,Andrew Abbott,CIN,Pitcher,8,1,0,16,91.1,8.18,2.36,0.99,2.07,3.51,2.1,770000
28,Carlos Rodón,NYY,Pitcher,10,6,0,20,119.2,10.15,3.08,1.13,3.08,3.58,2.1,27833333
29,Merrill Kelly,ARI,Pitcher,8,5,0,20,116,8.77,2.56,1.01,3.34,3.47,2.1,7000000
30,David Peterson,NYM,Pitcher,6,4,0,18,109,7.68,3.06,0.58,3.06,3.37,2.1,4625000
31,Chad Patrick,MIL,Pitcher,3,7,0,19,94.2,9.03,2.85,0.95,3.52,3.53,2,740000
32,Robbie Ray,SFG,Pitcher,9,3,0,20,119,9.68,3.33,0.98,2.65,3.49,1.9,25000000
33,Yusei Kikuchi,LAA,Pitcher,4,6,0,20,113,9.16,3.9,1.12,3.11,3.98,1.9,21225000
34,Michael Wacha,KCR,Pitcher,4,9,0,19,106,7.13,2.8,0.93,3.74,3.87,1.8,18000000
35,Dylan Cease,SDP,Pitcher,3,9,0,19,103.1,11.24,3.4,1.31,4.88,3.69,1.8,13750000
36,Kodai Senga,NYM,Pitcher,7,3,0,14,77.2,8.58,3.82,0.46,1.39,3.16,1.8,15000000
37,Aroldis Chapman,BOS,Pitcher,3,2,17,41,38,13.74,2.37,0.47,1.18,1.5,1.8,10750000
38,Will Warren,NYY,Pitcher,6,5,0,20,95.1,10.57,4.15,0.85,4.63,3.41,1.8,767600
39,Matthew Liberatore,STL,Pitcher,6,7,0,18,100.1,7.18,1.97,0.9,4.13,3.5,1.8,775800
40,Robert Suarez,SDP,Pitcher,2,4,28,43,40.2,9.52,2.66,0.22,3.54,2.25,1.7,10000000
41,Chris Bassitt,TOR,Pitcher,9,4,0,20,107,8.75,2.44,1.09,4.12,3.78,1.7,22000000
42,Randy Rodríguez,SFG,Pitcher,3,1,1,41,41.2,11.88,1.73,0.22,0.86,1.4,1.7,770000
43,Kyle Freeland,COL,Pitcher,1,10,0,17,89.1,6.75,2.22,0.91,5.44,3.7,1.7,16000000
44,Tyler Mahle,TEX,Pitcher,6,3,0,14,77,6.55,3.16,0.47,2.34,3.35,1.7,16500000
45,Dean Kremer,BAL,Pitcher,8,7,0,19,108.1,7.31,2.24,1.16,4.24,3.91,1.7,2950000
46,Cole Ragans,KCR,Pitcher,2,3,0,10,48.2,14.05,2.96,0.92,5.18,2.4,1.6,1083333
47,Janson Junk,MIA,Pitcher,4,1,1,10,50.1,6.79,0.72,0.18,2.68,2.13,1.6,760000
48,Kevin Gausman,TOR,Pitcher,6,7,0,19,109.2,8.53,2.79,1.15,4.19,3.86,1.6,23000000
49,Nick Martinez,CIN,Pitcher,7,9,0,21,111,6.16,2.03,1.14,4.78,4.14,1.6,21050000
50,Pablo López,MIN,Pitcher,5,3,0,11,60.2,9.05,2.08,0.74,2.82,2.98,1.6,21750000
